model_id,condition_id,CNHI_100,SC_recoverable_100,SA_field_BERTScore_100,field_completeness_100,strict_format_100
Baichuan2-7B-Chat,0shot,72.04549648823057,94.0,61.139300157626465,98.00000000000001,6.0
DeepSeek-R1-Distill-Qwen-32B,0shot,65.666620736804,82.0,58.20733606815338,87.33333333333331,11.0
Doubao,0shot,78.5065919397823,99.0,65.20369310180347,99.0,0.0
Mistral-7B-Instruct-v0.3,0shot,54.73039679186563,72.0,51.50760644674301,83.33333333333331,66.0
QwQ-32B,0shot,79.97335913931792,98.0,68.06916862726212,98.66666666666669,12.0
Qwen2.5-7B-Instruct,0shot,55.12451168309413,71.0,56.36107174555461,87.66666666666666,41.0
Qwen3-8B-NonThinking,0shot,80.18841690073693,99.0,67.71537949641545,99.33333333333334,0.0
Qwen3-8B-Thinking,0shot,78.26953504019455,97.0,65.96410901347797,97.33333333333334,0.0
chatglm3-6b,0shot,68.79165494929151,93.0,57.1680350204309,97.00000000000001,67.0
deepseek-llm-7b-chat,0shot,70.53466310647894,93.0,58.276875813802086,95.00000000000001,62.0
glm-4-9b-chat,0shot,73.22145516415853,94.0,60.627223153909036,94.66666666666669,24.0
internlm2_5-7b-chat,0shot,40.45849316805695,51.0,45.10107424855232,67.99999999999999,31.0
