model_id,task_id,n,primary_configuration,gpt_mean,kimi_mean,dual_mean
Baichuan2-7B-Chat,continuation,100,True,42.2465,36.9975,39.622
Baichuan2-7B-Chat,rewriting,100,True,62.59699999999999,52.07900000000001,57.338
Baichuan2-7B-Chat,story_generation,100,True,57.93,43.267999999999994,50.599000000000004
DeepSeek-R1-Distill-Qwen-32B,continuation,100,True,69.59899999999999,72.262,70.9305
DeepSeek-R1-Distill-Qwen-32B,rewriting,100,True,78.498,64.617,71.5575
DeepSeek-R1-Distill-Qwen-32B,story_generation,100,True,76.037,67.461,71.749
Doubao,continuation,100,True,86.47,87.72049999999997,87.09525
Doubao,rewriting,100,True,83.73899999999999,77.43399999999998,80.5865
Doubao,story_generation,100,True,85.3555,84.6505,85.00300000000001
Mistral-7B-Instruct-v0.3,continuation,100,True,39.30299999999999,40.2525,39.77775
Mistral-7B-Instruct-v0.3,rewriting,100,True,47.38500000000001,44.526,45.9555
Mistral-7B-Instruct-v0.3,story_generation,100,True,51.828500000000005,44.834500000000006,48.3315
QwQ-32B,continuation,100,True,79.47999999999999,83.38850000000001,81.43425
QwQ-32B,rewriting,100,True,83.33400000000002,72.652,77.993
QwQ-32B,story_generation,100,True,83.62900000000002,84.304,83.96649999999998
Qwen2.5-7B-Instruct,continuation,100,True,55.7295,58.475,57.10225
Qwen2.5-7B-Instruct,rewriting,100,True,75.148,62.937000000000005,69.0425
Qwen2.5-7B-Instruct,story_generation,100,True,73.4685,61.44650000000001,67.45750000000001
Qwen3-8B-NonThinking,continuation,100,True,48.0275,56.4585,52.243
Qwen3-8B-NonThinking,rewriting,100,True,76.09500000000001,66.804,71.4495
Qwen3-8B-NonThinking,story_generation,100,True,66.76650000000001,65.43549999999999,66.101
Qwen3-8B-Thinking,continuation,100,False,44.3205,60.16700000000001,52.24375
Qwen3-8B-Thinking,rewriting,100,False,78.3,68.372,73.336
Qwen3-8B-Thinking,story_generation,100,False,70.1035,74.87150000000001,72.4875
chatglm3-6b,continuation,100,True,42.6665,44.178999999999995,43.42275000000001
chatglm3-6b,rewriting,100,True,57.713999999999984,48.758,53.236000000000004
chatglm3-6b,story_generation,100,True,51.244499999999995,42.3675,46.806000000000004
deepseek-llm-7b-chat,continuation,100,True,45.151500000000006,44.305,44.728249999999996
deepseek-llm-7b-chat,rewriting,100,True,64.30600000000001,53.68199999999999,58.994
deepseek-llm-7b-chat,story_generation,100,True,66.64150000000001,51.288500000000006,58.96500000000001
glm-4-9b-chat,continuation,100,True,59.80299999999999,61.147,60.475
glm-4-9b-chat,rewriting,100,True,71.314,61.107000000000006,66.2105
glm-4-9b-chat,story_generation,100,True,64.5615,53.6095,59.08550000000001
internlm2_5-7b-chat,continuation,100,True,51.352,54.604,52.978
internlm2_5-7b-chat,rewriting,100,True,72.586,59.66400000000001,66.125
internlm2_5-7b-chat,story_generation,100,True,71.4035,58.766000000000005,65.08474999999999
