job_id,model,setting,repeat_index,seed,tasks,task_count,expected_responses,generation_policy
robustness__Baichuan2-7B-Chat__BASE_R5_r1,Baichuan2-7B-Chat,BASE_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Baichuan2-7B-Chat__BASE_R5_r2,Baichuan2-7B-Chat,BASE_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Baichuan2-7B-Chat__BASE_R5_r3,Baichuan2-7B-Chat,BASE_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Baichuan2-7B-Chat__BASE_R5_r4,Baichuan2-7B-Chat,BASE_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Baichuan2-7B-Chat__BASE_R5_r5,Baichuan2-7B-Chat,BASE_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,inherit_model_generation_config
robustness__Baichuan2-7B-Chat__T02_R5_r1,Baichuan2-7B-Chat,T02_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Baichuan2-7B-Chat__T02_R5_r2,Baichuan2-7B-Chat,T02_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Baichuan2-7B-Chat__T02_R5_r3,Baichuan2-7B-Chat,T02_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Baichuan2-7B-Chat__T02_R5_r4,Baichuan2-7B-Chat,T02_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Baichuan2-7B-Chat__T02_R5_r5,Baichuan2-7B-Chat,T02_R5,5,1105,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.2;do_sample=true
robustness__Baichuan2-7B-Chat__T07_R5_r1,Baichuan2-7B-Chat,T07_R5,1,1101,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Baichuan2-7B-Chat__T07_R5_r2,Baichuan2-7B-Chat,T07_R5,2,1102,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Baichuan2-7B-Chat__T07_R5_r3,Baichuan2-7B-Chat,T07_R5,3,1103,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
robustness__Baichuan2-7B-Chat__T07_R5_r4,Baichuan2-7B-Chat,T07_R5,4,1104,"classification,reasoning,structuring,relationship,qa_v4_5,story_generation,rewriting,continuation",8,99,temperature=0.7;do_sample=true
