model_id,task_id,metric,n_items,n_clusters,estimate_100,ci95_low_100,ci95_high_100,bootstrap_resamples,bootstrap_seed
Baichuan2-7B-Chat,classification,strict_format,100,100,99.0,97.0,100.0,10000,20260914
Baichuan2-7B-Chat,classification,answer_recovery,100,100,99.0,97.0,100.0,10000,20260914
Baichuan2-7B-Chat,classification,accuracy,100,100,13.0,7.000000000000001,20.0,10000,20260914
Baichuan2-7B-Chat,classification,macro_f1,100,100,9.075288972196189,3.0467423244145984,14.68940444438547,10000,20260914
chatglm3-6b,classification,strict_format,100,100,99.0,97.0,100.0,10000,20260914
chatglm3-6b,classification,answer_recovery,100,100,99.0,97.0,100.0,10000,20260914
chatglm3-6b,classification,accuracy,100,100,15.0,8.0,22.0,10000,20260914
chatglm3-6b,classification,macro_f1,100,100,12.806544105245404,5.717650315052912,18.676128188699344,10000,20260914
deepseek-llm-7b-chat,classification,strict_format,100,100,99.0,97.0,100.0,10000,20260914
deepseek-llm-7b-chat,classification,answer_recovery,100,100,99.0,97.0,100.0,10000,20260914
deepseek-llm-7b-chat,classification,accuracy,100,100,26.0,18.0,35.0,10000,20260914
deepseek-llm-7b-chat,classification,macro_f1,100,100,24.043683589138137,14.408233927125139,31.90460006760041,10000,20260914
DeepSeek-R1-Distill-Qwen-32B,classification,strict_format,100,100,90.0,84.0,95.0,10000,20260914
DeepSeek-R1-Distill-Qwen-32B,classification,answer_recovery,100,100,90.0,84.0,95.0,10000,20260914
DeepSeek-R1-Distill-Qwen-32B,classification,accuracy,100,100,69.0,60.0,78.0,10000,20260914
DeepSeek-R1-Distill-Qwen-32B,classification,macro_f1,100,100,71.94466525749948,60.932652724868205,79.5261621751511,10000,20260914
glm-4-9b-chat,classification,strict_format,100,100,100.0,100.0,100.0,10000,20260914
glm-4-9b-chat,classification,answer_recovery,100,100,100.0,100.0,100.0,10000,20260914
glm-4-9b-chat,classification,accuracy,100,100,65.0,56.00000000000001,74.0,10000,20260914
glm-4-9b-chat,classification,macro_f1,100,100,62.41306079541374,51.78829724205899,70.37140010912894,10000,20260914
internlm2_5-7b-chat,classification,strict_format,100,100,100.0,100.0,100.0,10000,20260914
internlm2_5-7b-chat,classification,answer_recovery,100,100,100.0,100.0,100.0,10000,20260914
internlm2_5-7b-chat,classification,accuracy,100,100,62.0,52.0,71.0,10000,20260914
internlm2_5-7b-chat,classification,macro_f1,100,100,60.88385909677776,49.77035468981077,69.04284638429237,10000,20260914
Mistral-7B-Instruct-v0.3,classification,strict_format,100,100,94.0,89.0,98.0,10000,20260914
Mistral-7B-Instruct-v0.3,classification,answer_recovery,100,100,94.0,89.0,98.0,10000,20260914
Mistral-7B-Instruct-v0.3,classification,accuracy,100,100,40.0,31.0,50.0,10000,20260914
Mistral-7B-Instruct-v0.3,classification,macro_f1,100,100,39.88429539580435,29.890439124866642,47.53413157147088,10000,20260914
Qwen2.5-7B-Instruct,classification,strict_format,100,100,100.0,100.0,100.0,10000,20260914
Qwen2.5-7B-Instruct,classification,answer_recovery,100,100,100.0,100.0,100.0,10000,20260914
Qwen2.5-7B-Instruct,classification,accuracy,100,100,54.0,44.0,64.0,10000,20260914
Qwen2.5-7B-Instruct,classification,macro_f1,100,100,50.92877298140457,39.63527674849943,59.381303193671265,10000,20260914
Qwen3-8B-NonThinking,classification,strict_format,100,100,100.0,100.0,100.0,10000,20260914
Qwen3-8B-NonThinking,classification,answer_recovery,100,100,100.0,100.0,100.0,10000,20260914
Qwen3-8B-NonThinking,classification,accuracy,100,100,56.99999999999999,47.0,67.0,10000,20260914
Qwen3-8B-NonThinking,classification,macro_f1,100,100,54.20400306763943,42.62842981907857,62.73124773837018,10000,20260914
QwQ-32B,classification,strict_format,100,100,100.0,100.0,100.0,10000,20260914
QwQ-32B,classification,answer_recovery,100,100,100.0,100.0,100.0,10000,20260914
QwQ-32B,classification,accuracy,100,100,77.0,68.0,85.0,10000,20260914
QwQ-32B,classification,macro_f1,100,100,77.28838523904938,67.1979470489638,84.59927752064678,10000,20260914
Doubao,classification,strict_format,100,100,100.0,100.0,100.0,10000,20260914
Doubao,classification,answer_recovery,100,100,100.0,100.0,100.0,10000,20260914
Doubao,classification,accuracy,100,100,82.0,74.0,89.0,10000,20260914
Doubao,classification,macro_f1,100,100,82.17653652286357,72.91267188862884,88.6113251227312,10000,20260914
Baichuan2-7B-Chat,qa_v4_5,strict_format,100,50,100.0,100.0,100.0,10000,20261914
Baichuan2-7B-Chat,qa_v4_5,answer_recovery,100,50,100.0,100.0,100.0,10000,20261914
Baichuan2-7B-Chat,qa_v4_5,recoverable_accuracy,100,50,26.0,17.0,36.0,10000,20261914
Baichuan2-7B-Chat,qa_v4_5,strict_accuracy,100,50,26.0,17.0,36.0,10000,20261914
chatglm3-6b,qa_v4_5,strict_format,100,50,100.0,100.0,100.0,10000,20261914
chatglm3-6b,qa_v4_5,answer_recovery,100,50,100.0,100.0,100.0,10000,20261914
chatglm3-6b,qa_v4_5,recoverable_accuracy,100,50,32.0,22.0,42.0,10000,20261914
chatglm3-6b,qa_v4_5,strict_accuracy,100,50,32.0,22.0,42.0,10000,20261914
deepseek-llm-7b-chat,qa_v4_5,strict_format,100,50,2.0,0.0,6.0,10000,20261914
deepseek-llm-7b-chat,qa_v4_5,answer_recovery,100,50,100.0,100.0,100.0,10000,20261914
deepseek-llm-7b-chat,qa_v4_5,recoverable_accuracy,100,50,35.0,26.0,45.0,10000,20261914
deepseek-llm-7b-chat,qa_v4_5,strict_accuracy,100,50,0.0,0.0,0.0,10000,20261914
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,strict_format,100,50,100.0,100.0,100.0,10000,20261914
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,answer_recovery,100,50,100.0,100.0,100.0,10000,20261914
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,recoverable_accuracy,100,50,90.0,84.0,95.0,10000,20261914
DeepSeek-R1-Distill-Qwen-32B,qa_v4_5,strict_accuracy,100,50,90.0,84.0,95.0,10000,20261914
glm-4-9b-chat,qa_v4_5,strict_format,100,50,100.0,100.0,100.0,10000,20261914
glm-4-9b-chat,qa_v4_5,answer_recovery,100,50,100.0,100.0,100.0,10000,20261914
glm-4-9b-chat,qa_v4_5,recoverable_accuracy,100,50,74.0,66.0,81.0,10000,20261914
glm-4-9b-chat,qa_v4_5,strict_accuracy,100,50,74.0,66.0,81.0,10000,20261914
internlm2_5-7b-chat,qa_v4_5,strict_format,100,50,100.0,100.0,100.0,10000,20261914
internlm2_5-7b-chat,qa_v4_5,answer_recovery,100,50,100.0,100.0,100.0,10000,20261914
internlm2_5-7b-chat,qa_v4_5,recoverable_accuracy,100,50,87.0,81.0,93.0,10000,20261914
internlm2_5-7b-chat,qa_v4_5,strict_accuracy,100,50,87.0,81.0,93.0,10000,20261914
Mistral-7B-Instruct-v0.3,qa_v4_5,strict_format,100,50,82.0,75.0,89.0,10000,20261914
Mistral-7B-Instruct-v0.3,qa_v4_5,answer_recovery,100,50,100.0,100.0,100.0,10000,20261914
Mistral-7B-Instruct-v0.3,qa_v4_5,recoverable_accuracy,100,50,46.0,37.0,55.00000000000001,10000,20261914
Mistral-7B-Instruct-v0.3,qa_v4_5,strict_accuracy,100,50,34.0,25.0,43.0,10000,20261914
Qwen2.5-7B-Instruct,qa_v4_5,strict_format,100,50,100.0,100.0,100.0,10000,20261914
Qwen2.5-7B-Instruct,qa_v4_5,answer_recovery,100,50,100.0,100.0,100.0,10000,20261914
Qwen2.5-7B-Instruct,qa_v4_5,recoverable_accuracy,100,50,75.0,66.0,83.0,10000,20261914
