model_id,task_id,item_id,shot,dual_total
Baichuan2-7B-Chat,continuation,CON-002,0,58.825
Baichuan2-7B-Chat,continuation,CON-002,1,68.25
Baichuan2-7B-Chat,continuation,CON-002,3,80.45
Baichuan2-7B-Chat,continuation,CON-006,0,46.025
Baichuan2-7B-Chat,continuation,CON-006,1,59.0
Baichuan2-7B-Chat,continuation,CON-006,3,70.775
Baichuan2-7B-Chat,continuation,CON-007,0,44.0
Baichuan2-7B-Chat,continuation,CON-007,1,71.975
Baichuan2-7B-Chat,continuation,CON-007,3,54.0
Baichuan2-7B-Chat,continuation,CON-014,0,22.125
Baichuan2-7B-Chat,continuation,CON-014,1,79.075
Baichuan2-7B-Chat,continuation,CON-014,3,78.0
Baichuan2-7B-Chat,continuation,CON-019,0,43.125
Baichuan2-7B-Chat,continuation,CON-019,1,58.075
Baichuan2-7B-Chat,continuation,CON-019,3,67.375
Baichuan2-7B-Chat,continuation,CON-025,0,46.125
Baichuan2-7B-Chat,continuation,CON-025,1,78.15
Baichuan2-7B-Chat,continuation,CON-025,3,76.57499999999999
Baichuan2-7B-Chat,continuation,CON-027,0,57.1
Baichuan2-7B-Chat,continuation,CON-027,1,76.525
Baichuan2-7B-Chat,continuation,CON-027,3,69.625
Baichuan2-7B-Chat,continuation,CON-032,0,47.65
Baichuan2-7B-Chat,continuation,CON-032,1,58.725
Baichuan2-7B-Chat,continuation,CON-032,3,77.625
Baichuan2-7B-Chat,continuation,CON-036,0,31.5
Baichuan2-7B-Chat,continuation,CON-036,1,50.875
Baichuan2-7B-Chat,continuation,CON-036,3,64.075
Baichuan2-7B-Chat,continuation,CON-040,0,42.875
Baichuan2-7B-Chat,continuation,CON-040,1,69.475
Baichuan2-7B-Chat,continuation,CON-040,3,72.225
Baichuan2-7B-Chat,continuation,CON-044,0,43.4
Baichuan2-7B-Chat,continuation,CON-044,1,64.775
Baichuan2-7B-Chat,continuation,CON-044,3,73.35
Baichuan2-7B-Chat,continuation,CON-046,0,44.625
Baichuan2-7B-Chat,continuation,CON-046,1,70.625
Baichuan2-7B-Chat,continuation,CON-046,3,66.025
Baichuan2-7B-Chat,continuation,CON-047,0,41.25
Baichuan2-7B-Chat,continuation,CON-047,1,77.975
Baichuan2-7B-Chat,continuation,CON-047,3,71.6
Baichuan2-7B-Chat,continuation,CON-053,0,36.6
Baichuan2-7B-Chat,continuation,CON-053,1,70.475
Baichuan2-7B-Chat,continuation,CON-053,3,56.5
Baichuan2-7B-Chat,continuation,CON-063,0,31.25
Baichuan2-7B-Chat,continuation,CON-063,1,76.825
Baichuan2-7B-Chat,continuation,CON-063,3,78.375
Baichuan2-7B-Chat,continuation,CON-064,0,43.025
Baichuan2-7B-Chat,continuation,CON-064,1,68.125
Baichuan2-7B-Chat,continuation,CON-064,3,55.0
Baichuan2-7B-Chat,continuation,CON-066,0,50.425
Baichuan2-7B-Chat,continuation,CON-066,1,81.65
Baichuan2-7B-Chat,continuation,CON-066,3,76.45
Baichuan2-7B-Chat,continuation,CON-073,0,26.625
Baichuan2-7B-Chat,continuation,CON-073,1,55.65
Baichuan2-7B-Chat,continuation,CON-073,3,66.8
Baichuan2-7B-Chat,continuation,CON-080,0,52.275
Baichuan2-7B-Chat,continuation,CON-080,1,62.675
Baichuan2-7B-Chat,continuation,CON-080,3,52.875
Baichuan2-7B-Chat,continuation,CON-081,0,41.375
Baichuan2-7B-Chat,continuation,CON-081,1,68.35
Baichuan2-7B-Chat,continuation,CON-081,3,73.225
Baichuan2-7B-Chat,continuation,CON-084,0,52.25
Baichuan2-7B-Chat,continuation,CON-084,1,64.55
