model_id,setting,task_id,n_items,n_outputs,repeats,primary_metric,primary_mean_100,primary_sd_across_5_runs_100,all_five_exact_agreement_rate,mean_pairwise_exact_agreement,agreement_object,mean_pairwise_BERTScore,semantic_valid_pair_n,semantic_total_pair_n,strict_format_100,no_final_outputs,primary_numeric_status,duplicate_setting_note,setting_label,duplicate_of_setting,duplicate_counterpart,semantic_pair_missing_n,semantic_pair_coverage_rate,semantic_pair_status,delivery_failure_outputs,delivery_status
Baichuan2-7B-Chat,BASE_R5,classification,11,55,5,accuracy,9.090909090909092,0.0,1.0,1.0,task answer/set,,0,0,100.0,0,COMPUTED,,Default,,,0,,NOT_APPLICABLE,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,BASE_R5,continuation,11,55,5,calibrated_rubric_total,,,1.0,1.0,"final text, not quality",0.9999999729069796,110,110,0.0,0,LANGUAGE_QUALITY_NOT_MEASURED,,Default,,,0,1.0,COMPLETE,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,BASE_R5,qa_v4_5,15,75,5,recoverable_accuracy,6.666666666666667,0.0,1.0,1.0,task answer/set,,0,0,100.0,0,COMPUTED,,Default,,,0,,NOT_APPLICABLE,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,BASE_R5,reasoning,12,60,5,judgment_accuracy,100.0,0.0,1.0,1.0,task answer/set,1.0000000546375911,120,120,0.0,0,COMPUTED,,Default,,,0,1.0,COMPLETE,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,BASE_R5,relationship,12,60,5,corpus_micro_f1,18.25726141078838,0.0,1.0,1.0,task answer/set,,0,0,0.0,0,COMPUTED,,Default,,,0,,NOT_APPLICABLE,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,BASE_R5,rewriting,12,60,5,calibrated_rubric_total,,,1.0,1.0,"final text, not quality",0.9999999674883756,110,120,,0,LANGUAGE_QUALITY_NOT_MEASURED,,Default,,,10,0.9166666666666666,PARTIAL,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,BASE_R5,story_generation,11,55,5,calibrated_rubric_total,,,1.0,1.0,"final text, not quality",0.9999999945813959,110,110,,0,LANGUAGE_QUALITY_NOT_MEASURED,,Default,,,0,1.0,COMPLETE,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,BASE_R5,structuring,15,75,5,mean_item_CNHI_H_binarySC_mean_field_BERTScoreF1,72.0492727031415,0.0,1.0,1.0,"final text, not quality",0.9999999562899272,150,150,6.666666666666667,0,COMPUTED,,Default,,,0,1.0,COMPLETE,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,T02_R5,classification,11,55,5,accuracy,9.090909090909092,0.0,0.9090909090909091,0.9454545454545454,task answer/set,,0,0,100.0,0,COMPUTED,,T=0.2,,,0,,NOT_APPLICABLE,0,COMPLETE_DELIVERY
Baichuan2-7B-Chat,T02_R5,continuation,11,55,5,calibrated_rubric_total,,,0.0,0.0,"final text, not quality",0.7911868913607164,110,110,0.0,0,LANGUAGE_QUALITY_NOT_MEASURED,,T=0.2,,,0,1.0,COMPLETE,0,COMPLETE_DELIVERY
