model_id,task_id,item_id,shot,gpt_total,kimi_total,dual_total,primary_configuration,gpt_family_value,gpt_context_fit,gpt_coherence,gpt_clarity,kimi_family_value,kimi_context_fit,kimi_coherence,kimi_clarity,gpt_plot_logic,gpt_characterization,gpt_emotion,kimi_plot_logic,kimi_characterization,kimi_emotion,gpt_content_fidelity,gpt_style_fit,gpt_value_expression,kimi_content_fidelity,kimi_style_fit,kimi_value_expression
chatglm3-6b,continuation,CON-039,0,35.75,37.25,36.5,True,35,65,30,25,35.0,55.0,30.0,40.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-098,0,78.0,78.75,78.375,True,82,80,84,60,85.0,75.0,80.0,70.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-004,0,84.1,60.7,72.4,True,86,,,,65.0,,,,84,82,82,60.0,55.0,58.0,,,,,,
Mistral-7B-Instruct-v0.3,rewriting,REW-082,0,59.4,47.5,53.45,True,,,,62,,,,50.0,,,,,,,65,55,65,55.0,45.0,40.0
Qwen3-8B-Thinking,continuation,CON-011,0,62.1,57.25,59.675,False,72,80,70,20,65.0,70.0,55.0,40.0,,,,,,,,,,,,
glm-4-9b-chat,continuation,CON-053,0,58.75,57.75,58.25,True,70,70,55,40,55.0,70.0,45.0,75.0,,,,,,,,,,,,
Baichuan2-7B-Chat,rewriting,REW-085,0,74.6,55.5,65.05,True,,,,82,,,,70.0,,,,,,,76,72,70,45.0,55.0,50.0
Qwen3-8B-Thinking,rewriting,REW-067,0,67.6,71.5,69.55,False,,,,78,,,,80.0,,,,,,,55,68,70,55.0,75.0,70.0
deepseek-llm-7b-chat,continuation,CON-048,0,46.0,51.0,48.5,True,60,70,50,0,55.0,60.0,50.0,40.0,,,,,,,,,,,,
deepseek-llm-7b-chat,continuation,CON-010,0,24.25,31.75,28.0,True,25,35,30,5,35.0,45.0,30.0,20.0,,,,,,,,,,,,
Qwen3-8B-Thinking,continuation,CON-058,0,50.5,66.75,58.625,False,65,60,60,5,75.0,70.0,65.0,55.0,,,,,,,,,,,,
glm-4-9b-chat,rewriting,REW-078,0,78.0,60.5,69.25,True,,,,84,,,,70.0,,,,,,,86,72,80,65.0,55.0,60.0
Qwen3-8B-NonThinking,continuation,CON-056,0,46.45,51.0,48.725,True,50,78,45,20,55.0,60.0,50.0,40.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-043,0,49.9,31.5,40.7,True,,,,72,,,,55.0,,,,,,,70,30,65,45.0,15.0,40.0
deepseek-llm-7b-chat,story_generation,GEN-038,0,58.15,39.25,48.7,True,68,,,,45.0,,,,55,50,48,35.0,40.0,30.0,,,,,,
deepseek-llm-7b-chat,rewriting,REW-053,0,75.1,69.0,72.05,True,,,,78,,,,70.0,,,,,,,70,75,80,55.0,75.0,65.0
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-045,0,60.75,72.25,66.5,True,50,70,55,80,75.0,55.0,70.0,85.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,story_generation,GEN-003,0,67.65,49.5,58.575,True,72,,,,55.0,,,,65,65,64,50.0,45.0,40.0,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-071,0,80.2,52.5,66.35,True,,,,84,,,,70.0,,,,,,,82,78,80,55.0,45.0,50.0
